-20    0.9969    1.0004
-19.8    0.99685    1.0004
-19.6    0.99675    1.0004
-19.4    0.99671    1.0004
-19.2    0.99673    1.0004
-19    0.99675    1.0004
-18.8    0.99678    1.0004
-18.6    0.99676    1.0004
-18.4    0.99667    1.0005
-18.2    0.99662    1.0005
-18    0.99661    1.0005
-17.8    0.99665    1.0005
-17.6    0.99675    1.0005
-17.4    0.99679    1.0005
-17.2    0.99675    1.0005
-17    0.9967    1.0005
-16.8    0.99663    1.0005
-16.6    0.99661    1.0005
-16.4    0.99666    1.0005
-16.2    0.99668    1.0006
-16    0.99668    1.0006
-15.8    0.99665    1.0006
-15.6    0.99659    1.0006
-15.4    0.99654    1.0006
-15.2    0.99652    1.0006
-15    0.99648    1.0006
-14.8    0.99643    1.0006
-14.6    0.99641    1.0006
-14.4    0.99642    1.0007
-14.2    0.99641    1.0007
-14    0.99637    1.0007
-13.8    0.99628    1.0007
-13.6    0.99614    1.0007
-13.4    0.99607    1.0007
-13.2    0.99608    1.0007
-13    0.99609    1.0007
-12.8    0.99609    1.0008
-12.6    0.99606    1.0008
-12.4    0.99601    1.0008
-12.2    0.99594    1.0008
-12    0.99586    1.0008
-11.8    0.99574    1.0008
-11.6    0.99557    1.0008
-11.4    0.99546    1.0008
-11.2    0.99545    1.0009
-11    0.99539    1.0009
-10.8    0.99526    1.0009
-10.6    0.99512    1.0009
-10.4    0.99498    1.0009
-10.2    0.99477    1.0009
-10    0.99447    1.0009
-9.8    0.99418    1.0009
-9.6    0.99392    1.0009
-9.4    0.99365    1.0009
-9.2    0.99338    1.0009
-9    0.9931    1.0009
-8.8    0.99281    1.0008
-8.6    0.99247    1.0008
-8.4    0.99205    1.0008
-8.2    0.99158    1.0007
-8    0.99106    1.0006
-7.8    0.9905    1.0006
-7.6    0.98994    1.0005
-7.4    0.98937    1.0004
-7.2    0.98881    1.0002
-7    0.98823    1.0001
-6.8    0.98763    0.99986
-6.6    0.98698    0.99962
-6.4    0.98625    0.99933
-6.2    0.98542    0.99898
-6    0.98449    0.99855
-5.8    0.98343    0.99804
-5.6    0.98226    0.99741
-5.4    0.98096    0.99666
-5.2    0.97952    0.99574
