t		l							lmin					lmax
25       0.00162106529234559       0.00162106529234559       0.00162106529234559
50       0.00140878163878374       0.00140878163878374       0.00140878163878374
75       0.00136501221254693       0.00136501221254693       0.00136501221254693
100       0.00113705441476631       0.00113705441476631       0.00113705441476631
125       0.00105367301442947       0.00105367301442947       0.00105367301442947
150      0.000922507148442483      0.000922507148442483      0.000922507148442483
175      0.000845054614644442      0.000845054614644442      0.000845054614644442
200      0.000810743142171909      0.000810743142171909      0.000810743142171909
225      0.000752625009431808      0.000752625009431808      0.000752625009431808
250      0.000675658427821629      0.000675658427821629      0.000675658427821629
275      0.000632146343874539      0.000632146343874539      0.000632146343874539
300        0.0006209294680524        0.0006209294680524        0.0006209294680524
325      0.000577960801076313      0.000577960801076313      0.000577960801076313
350      0.000544678697762645      0.000544678697762645      0.000544678697762645
375      0.000516542191008882      0.000516542191008882      0.000516542191008882
400       0.00051482699215558       0.00051482699215558       0.00051482699215558
425      0.000474952678828166      0.000474952678828166      0.000474952678828166
450      0.000453412129791398      0.000453412129791398      0.000453412129791398
475        0.0004525663980917        0.0004525663980917        0.0004525663980917
525      0.000445429521872535      0.000445429521872535      0.000445429521872535
550      0.000424779676974445      0.000424779676974445      0.000424779676974445
575       0.00041361901670103       0.00041361901670103       0.00041361901670103
625      0.000388656814598571      0.000388656814598571      0.000388656814598571
650      0.000375745976908204      0.000375745976908204      0.000375745976908204
700       0.00034639021736433       0.00034639021736433       0.00034639021736433
750       0.00033128447480488       0.00033128447480488       0.00033128447480488
775       0.00031528552963792       0.00031528552963792       0.00031528552963792
825      0.000310764550286063      0.000310764550286063      0.000310764550286063
875      0.000304815695996607      0.000304815695996607      0.000304815695996607
950      0.000277132661335888      0.000277132661335888      0.000277132661335888
1000      0.000277110175116398      0.000277110175116398      0.000277110175116398
1050      0.000277594878069844      0.000277594878069844      0.000277594878069844
1125      0.000247337171277548      0.000247337171277548      0.000247337171277548
1200      0.000239726835214683      0.000239726835214683      0.000239726835214683
1275       0.00022651368279562       0.00022651368279562       0.00022651368279562
1350      0.000217891466855715      0.000217891466855715      0.000217891466855715
1425      0.000190295878604123      0.000190295878604123      0.000190295878604123
1525      0.000184634348230369      0.000184634348230369      0.000184634348230369
1625      0.000195362773395814      0.000195362773395814      0.000195362773395814
1725       0.00018466932679402       0.00018466932679402       0.00018466932679402
1825      0.000170965225249431      0.000170965225249431      0.000170965225249431
1950      0.000163832096733515      0.000163832096733515      0.000163832096733515
2075      0.000151321014056299      0.000151321014056299      0.000151321014056299
2200      0.000147173555794855      0.000147173555794855      0.000147173555794855
2325      0.000138272760580161      0.000138272760580161      0.000138272760580161
2475      0.000125014635722119      0.000125014635722119      0.000125014635722119
2625      0.000121425585244671      0.000121425585244671      0.000121425585244671
2800      0.000102854466414967      0.000102854466414967      0.000102854466414967
2975      0.000107534098537668      0.000107534098537668      0.000107534098537668
3150      0.000109280528251372      0.000109280528251372      0.000109280528251372
3350      0.000102844472539638      0.000102844472539638      0.000102844472539638
3550      0.000105163051615915      0.000105163051615915      0.000105163051615915
3775      9.35526669527051e-05      9.35526669527051e-05      9.35526669527051e-05
4025      9.21110504365286e-05      9.21110504365286e-05      9.21110504365286e-05
4275      8.77212406983622e-05      8.77212406983622e-05      8.77212406983622e-05
4525       7.8871664094728e-05       7.8871664094728e-05       7.8871664094728e-05
4825      6.83531103111875e-05      6.83531103111875e-05      6.83531103111875e-05
5125      5.85915925838021e-05      5.85915925838021e-05      5.85915925838021e-05
5425      5.03616362505522e-05      5.03616362505522e-05      5.03616362505522e-05
5775      4.79830939223027e-05      4.79830939223027e-05      4.79830939223027e-05
6125      4.54571419329536e-05      4.54571419329536e-05      4.54571419329536e-05
6525      4.11372893220887e-05      4.11372893220887e-05      4.11372893220887e-05
6925      2.96843081953074e-05      2.96843081953074e-05      2.96843081953074e-05
7350      2.86174620039601e-05      2.86174620039601e-05      2.86174620039601e-05
7825      2.75731020321027e-05      2.75731020321027e-05      2.75731020321027e-05
8300      2.55743269663468e-05      2.55743269663468e-05      2.55743269663468e-05
8825      2.48772541621644e-05      2.48772541621644e-05      2.48772541621644e-05
9375      2.32932249225529e-05      2.32932249225529e-05      2.32932249225529e-05
9950      2.27910326872817e-05      2.27910326872817e-05      2.27910326872817e-05
