
# Surface 0 of 1 surfaces

# Curve title: ""numerics/figures/profile1-1um-gnu.dat" using 1:2:3"
# IsoCurve 0, 65536 points
# x y z type
3.5686300e-01 0.0000000e+00 4.3977500e+00 4.39775 i
3.6078400e-01 0.0000000e+00 4.4540600e+00 4.45406 i
3.6470600e-01 0.0000000e+00 4.4252400e+00 4.42524 i
3.6862700e-01 0.0000000e+00 4.3396600e+00 4.33966 i
3.7254900e-01 0.0000000e+00 4.4811000e+00 4.4811 i
3.7647100e-01 0.0000000e+00 4.4026200e+00 4.40262 i
3.8039200e-01 0.0000000e+00 4.3241500e+00 4.32415 i
3.8431400e-01 0.0000000e+00 4.3307900e+00 4.33079 i
3.8823500e-01 0.0000000e+00 4.2381300e+00 4.23813 i
3.9215700e-01 0.0000000e+00 4.2022200e+00 4.20222 i
3.9607800e-01 0.0000000e+00 4.2159600e+00 4.21596 i
4.0000000e-01 0.0000000e+00 4.2580800e+00 4.25808 i
4.0392200e-01 0.0000000e+00 4.2718200e+00 4.27182 i
4.0784300e-01 0.0000000e+00 4.2217200e+00 4.22172 i
4.1176500e-01 0.0000000e+00 4.3276900e+00 4.32769 i
4.1568600e-01 0.0000000e+00 4.3414300e+00 4.34143 i
4.1960800e-01 0.0000000e+00 4.2416700e+00 4.24167 i
4.2352900e-01 0.0000000e+00 4.3405400e+00 4.34054 i
4.2745100e-01 0.0000000e+00 4.2975400e+00 4.29754 i
4.3137300e-01 0.0000000e+00 4.3183700e+00 4.31837 i
4.3529400e-01 0.0000000e+00 4.2611800e+00 4.26118 i
4.3921600e-01 0.0000000e+00 4.1188600e+00 4.11886 i
4.4313700e-01 0.0000000e+00 4.1467900e+00 4.14679 i
4.4705900e-01 0.0000000e+00 4.1037800e+00 4.10378 i
4.5098000e-01 0.0000000e+00 4.0891500e+00 4.08915 i
4.5490200e-01 0.0000000e+00 4.2234900e+00 4.22349 i
4.5882400e-01 0.0000000e+00 4.1946700e+00 4.19467 i
4.6274500e-01 0.0000000e+00 4.2084100e+00 4.20841 i
4.6666700e-01 0.0000000e+00 4.2860000e+00 4.286 i
4.7058800e-01 0.0000000e+00 4.2713700e+00 4.27137 i
4.7451000e-01 0.0000000e+00 4.2851100e+00 4.28511 i
4.7843100e-01 0.0000000e+00 4.2492000e+00 4.2492 i
4.8235300e-01 0.0000000e+00 4.4261000e+00 4.4261 i
4.8627500e-01 0.0000000e+00 4.3831000e+00 4.3831 i
4.9019600e-01 0.0000000e+00 4.3897500e+00 4.38975 i
4.9411800e-01 0.0000000e+00 4.4744300e+00 4.47443 i
4.9803900e-01 0.0000000e+00 4.3533900e+00 4.35339 i
5.0196100e-01 0.0000000e+00 4.3387600e+00 4.33876 i
5.0588200e-01 0.0000000e+00 4.2886600e+00 4.28866 i
5.0980400e-01 0.0000000e+00 4.2953100e+00 4.29531 i
5.1372500e-01 0.0000000e+00 4.2948600e+00 4.29486 i
