X       Y          Y_error
0.300		1.7212		 0.1844
0.325		3.186			 0.1876
0.350		4.19			 0.316
0.375		4.99			 0.346
0.4			6.35       0.464
0.425		6.27       0.408
0.45		6.75       0.494
0.475		7.22       0.49
0.5			8.28       0.6

